STATEFP,PUMA5CE,PUMA NAME
06,06511,Riverside County (Northwest)--Riverside City (West)
06,06512,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens"
06,06513,Riverside County (West Central)--Corona (Northwest) & Norco Cities
06,06514,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities
06,06515,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities"
06,06701,Sacramento County (North Central)--Citrus Heights City
06,06702,Sacramento County (Central)--Rancho Cordova City
06,06703,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)"
06,06704,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park"
06,06705,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas)
06,06706,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda"
06,06707,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown)
06,06708,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)"
06,06709,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna)"
06,06710,Sacramento County (Central)--Elk Grove City
06,06711,"Sacramento County (South)--Galt, Isleton Cities & Delta Region"
06,06712,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)"
06,07101,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities
06,07102,San Bernardino County (West Central)--Victorville & Adelanto Cities
06,07103,San Bernardino County (West Central)--Hesperia City & Apple Valley Town
06,07104,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City"
06,07105,San Bernardino County (Southwest)--Redlands & Yucaipa Cities
06,07106,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities"
06,07107,San Bernardino County (Southwest)--San Bernardino City (East)
06,07108,San Bernardino County (Southwest)--San Bernardino City (West)
06,07109,San Bernardino County (Southwest)--Rialto City
06,07110,San Bernardino County (Southwest)--Fontana City (East)
06,07111,San Bernardino County (Southwest)--Rancho Cucamonga City
06,07112,San Bernardino County (Southwest)--Upland & Montclair Cities
06,07113,San Bernardino County (Southwest)--Ontario City
06,07114,San Bernardino County (Southwest)--Chino & Chino Hills Cities
06,07115,San Bernardino County (Southwest)--Fontana City (West)
06,07301,San Diego County (Northwest)--Oceanside City & Camp Pendleton
06,07302,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center"
06,07303,San Diego County (Northwest)--Vista City
06,07304,San Diego County (Northwest)--Carlsbad City
06,07305,San Diego County (Northwest)--San Marcos & Escondido (West) Cities
06,07306,San Diego County (Northwest)--Escondido City (East)
06,07307,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona"
06,07308,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities
06,07309,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities
06,07310,San Diego County (West)--San Diego City (Southwest/Central Coastal)
06,07311,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa)
06,07312,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights)
06,07313,San Diego County (Central)--El Cajon & Santee Cities
06,07314,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities
06,07315,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa)
06,07316,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)
06,07317,San Diego County (South Central)--San Diego City (Central/Mid-City)
06,07318,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline)
06,07319,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley"
06,07320,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East)
06,07321,San Diego County (Southwest)--Chula Vista (West) & National City Cities
06,07322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay)
06,07501,San Francisco County (North & West)--Richmond District
06,07502,San Francisco County (North & East)--North Beach & Chinatown
06,07503,San Francisco County (Central)--South of Market & Potrero
06,07504,San Francisco County (Central)--Inner Mission & Castro
06,07505,San Francisco County (Central)--Sunset District (North)
06,07506,San Francisco County (South Central)--Sunset District (South)
06,07507,San Francisco County (South Central)--Bayview & Hunters Point
06,07701,San Joaquin County (Central)--Stockton City (North)
06,07702,San Joaquin County (Central)--Stockton City (South)
06,07703,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities"
06,07704,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities"
06,07901,San Luis Obispo County (West)--Coastal Region
06,07902,San Luis Obispo County (East)--Inland Region
06,08101,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town"
06,08102,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities"
06,08103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities"
06,08104,San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities
06,08105,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities"
06,08106,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town"
06,08301,Santa Barbara County (Northwest)--Santa Maria City & Orcutt
06,08302,"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities"
06,08303,Santa Barbara County--South Coast Region
06,08501,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities"
06,08502,Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities
06,08503,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities
06,08504,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities
06,08505,Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock
06,08506,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities"
06,08507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town"
06,08508,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities
06,08509,Santa Clara County (Central)--San Jose City (Northwest)
06,08510,Santa Clara County (Central)--San Jose City (Central)
06,08511,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park
06,08512,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley)
06,08513,Santa Clara County (Central)--San Jose City (Southeast/Evergreen)
06,08514,Santa Clara County (Central)--San Jose City (East Central/East Valley)
06,08701,Santa Cruz County (North)--Watsonville & Scotts Valley Cities
06,08702,Santa Cruz County (South & Coastal)--Santa Cruz City
06,08900,Shasta County--Redding City
06,09501,Solano County (Southwest)--Vallejo & Benicia Cities
06,09502,Solano County (Central)--Fairfield & Suisun City Cities
06,09503,Solano County (Northeast)--Vacaville & Dixon Cities
06,09701,"Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities"
06,09702,"Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities"
06,09703,Sonoma County (Central)--Santa Rosa City
06,09901,"Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities"
06,09902,Stanislaus County (Central)--Modesto City (West)
06,09903,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities"
06,09904,Stanislaus County (Central)--Modesto City (East)
06,10100,Sutter & Yuba Counties--Yuba City
06,10701,Tulare County (Northwest)--Visalia City
06,10702,Tulare County (West Central)--Tulare & Porterville Cities
06,10703,"Tulare County (Outside Visalia, Tulare & Porterville Cities)"
06,11101,Ventura County (Southeast)--Simi Valley City
06,11102,Ventura County (Southeast)--Thousand Oaks City
